step,x,y,z
105,11.886980275104284,17.347997895779976,24.095541578536064
106,12.418174615615206,17.559261428455905,25.556955470914744
107,12.910660468760373,17.596008150212956,27.08393073415899
108,13.35049802318266,17.43812564525354,28.644044444846536
109,13.723461838193716,17.072126188078812,30.19857684395304
110,14.015808673228445,16.4933672936337,31.70427212605324
111,14.215160066751118,15.707722693631549,33.11595508832231
112,14.311417935004636,14.732329546421562,34.38978866827594
113,14.297607740808834,13.59513877138419,35.486781543021024
114,14.17053652081302,12.333187624674396,36.37603803749554
115,13.931167729956911,10.989757778261927,37.03723326997087
116,13.584651255006147,9.610812135618675,37.46191399201304
117,13.139998187229109,8.241249657746554,37.65344619608492
118,12.609444167257768,6.921534758953456,37.62569272503615
119,12.00758937585848,5.685145505740271,37.4007320194327
120,11.350427915117576,4.557084990181474,37.006062894032496
